# Bright-sky pack DSO tile generated from OpenNGC.
# Generated resource - do not edit; see ../../PROVENANCE.md.
# id,aliases(|-separated),type(OpenNGC token),ra_deg,dec_deg,major_arcmin,minor_arcmin,pa_deg,vmag,label_priority
ESO138-010,,G,254.762292,-60.216028,5.50,3.98,56.0,11.42,2
IC 4584,,G,240.051083,-66.383278,1.96,1.64,90.0,15.78,2
IC 4585,,G,240.073500,-66.322278,1.58,0.76,56.0,12.32,2
IC 4595,,G,245.185167,-70.142611,3.26,0.55,60.0,13.48,2
IC 4608,,G,251.724917,-77.488694,0.86,0.64,74.0,13.66,2
IC 4618,,G,254.458375,-76.992972,1.69,0.81,119.0,12.60,2
IC 4633,,G,258.446000,-77.536194,2.70,1.32,148.0,13.69,2
IC 4635,,G,258.913292,-77.489528,1.62,0.45,160.0,14.87,2
IC 4640,,G,260.993125,-80.064083,1.34,1.20,130.0,14.78,2
IC 4641,,G,261.043000,-80.147417,1.22,1.12,45.0,14.36,2
IC 4644,,G,261.153750,-73.940111,1.75,0.47,134.0,15.50,2
IC 4647,,G,261.515583,-80.195111,1.64,0.84,176.0,14.47,2
IC 4653,,G,261.779917,-60.879583,1.61,0.98,51.0,12.55,2
IC 4654,,G,264.282875,-74.381444,1.97,1.11,102.0,13.15,2
IC 4656,,G,264.432792,-63.729667,2.65,0.57,90.0,13.75,2
IC 4661,,G,267.761500,-74.032389,1.62,1.30,63.0,13.48,2
IC 4662,,G,266.786958,-64.641750,2.09,0.83,106.0,11.10,2
IC 4664,,G,267.244125,-63.254528,1.67,0.89,106.0,12.93,2
NGC 6025,,OCl,240.824125,-60.431361,11.40,11.40,0.0,5.10,2
NGC 6101,,GCl,246.452375,-72.201556,4.50,4.50,0.0,10.08,2
NGC 6156,,G,248.718958,-60.618806,1.87,1.60,149.0,11.98,2
NGC 6183,,G,250.424583,-69.372167,2.36,0.80,37.0,14.09,2
NGC 6209,,G,253.740250,-72.586639,2.11,1.54,14.0,13.16,2
NGC 6300,,G,259.247792,-62.820556,5.33,3.37,119.0,10.27,2
NGC 6328,,G,260.920958,-65.010167,1.61,1.56,160.0,15.50,2
NGC 6362,,GCl,262.978500,-67.047861,8.40,8.40,0.0,8.86,2
NGC 6392,,G,265.876542,-69.785194,1.94,1.71,60.0,12.27,2
NGC 6398,,G,265.682250,-61.694278,2.44,0.85,161.0,13.46,2
NGC 6403,,G,265.848167,-61.682111,1.15,0.89,19.0,14.34,2
NGC 6407,,G,266.240375,-60.739806,2.47,1.93,56.0,12.99,2
NGC 6483,,G,269.878375,-63.668722,1.83,1.49,117.0,11.96,2
